ModelCode,Barcode,ProductName,Color,AverageSalesPrice,CurrentSalesPrice,TotalViews,GrossFavoriteNumber,ActiveFavoriteTotal,SellerViewTotal,TotalAddedtoCart,GrossOrderQuantity,GrossSalesQuantity,CancelledbyCustomer,CancelledbyTrendyol,NumberofReturns,NetSalesQuantity,TotalCommission,GrossTurnover,NetTurnover,CancelledByUs,DidntLikeModelCancel,DamagedProductCancel,WrongProductCancel,ChangedMyMindCancel,OtherCancel,SmallSizeCancel,BigSizeCancel,NotLikeThePictureCancel,WrongOrderCancel,DidntLikeQualityCancel,DidntReachCancel
YPAS4,1789393946743,Hoşgeldiniz Yazılı Kauçuk Kapı Önü Paspası,Renkli,199,199,32,2,9,32,2,1,1,0,0,0,1,40.48,199,199,0,0,0,0,0,0,0,0,0,0,0,0
YYPS17,869099782735,Welcome Yazılı Kauçuk Kapı Önü Paspası,Renkli,199,199,10,1,2,10,1,1,1,0,0,0,1,40.48,199,199,0,0,0,0,0,0,0,0,0,0,0,0
HSHKOP,HSHKOP4570GRI,Home Sweet Home Kauçuk Tabanlı Kapı Önü Paspası,GRİ,199,199,21,3,7,21,5,1,1,0,0,0,1,40.8,199,199,0,0,0,0,0,0,0,0,0,0,0,0
DK208,0709637254045,Tufting Halıdan Basamak Ve Merdiven Paspası,Kahverengi,199,199,164,14,47,164,10,1,1,0,0,0,1,40.48,199,199,0,0,0,0,0,0,0,0,0,0,0,0
CPAS20,869311000020,Welcome Yazılı Çift Taraflı Kauçuk Kapı Önü Paspası,Renkli,198.97,299,19,2,2,19,1,1,1,0,0,0,1,40.47,249,199,0,0,0,0,0,0,0,0,0,0,0,0
KVK14,0789393943285,Welcome Baskılı Kıvırcık Kapı Önü Paspası,Mavi,164.16,199,83,6,6,83,5,1,1,0,0,0,1,33.39,164,164,0,0,0,0,0,0,0,0,0,0,0,0
EKOANTDKG,EKOANTDKG,Bukle Halıdan Ekonomik Basamak ve Merdiven Paspası,Antrasit,129.9,129.9,78,7,0,78,4,1,1,0,0,0,1,26.42,130,130,0,0,0,0,0,0,0,0,0,0,0,0
DK110,0709637252812,Tufting Halıdan Basamak Ve Merdiven Paspası,Yeşil,129,129,171,16,4,171,4,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
DK187,0709637253833,Tufting Halıdan Basamak Ve Merdiven Paspası,Bej,129,129,185,15,35,185,22,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
EKO24,470771667,Shaggy Halıdan Kaymaz Tabanlı Merdiven Basamak Paspası / Halısı,Lacivert,129,129,205,10,79,205,30,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
DK185,0709637253819,Tufting Halıdan Basamak Ve Merdiven Paspası,Bordo,129,129,113,9,9,113,54,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
DK159,0709637253284,Tufting Halıdan Basamak Ve Merdiven Paspası,Siyah,129,129,47,6,20,47,3,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
DK196,0709637253925,Tufting Halıdan Basamak Ve Merdiven Paspası,Yeşil,129,129,116,11,3,116,4,1,1,0,0,0,1,26.24,129,129,0,0,0,0,0,0,0,0,0,0,0,0
CTAS12,0709637253550,Uğur Böcekleri Desenli Çift Taraflı Kauçuk Kapı Önü Paspası,Yeşil,0,299,20,2,1,20,4,1,1,1,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0
BASPAS2,0789393947382,Kıvırcık Dış Mekan Merdiven ve Basamak Paspası,Renkli,0,549,55,0,7,55,4,1,1,0,0,1,0,0,549,0,0,0,0,0,0,1,0,0,0,0,0,0
DK128,0709637252997,Tufting Halıdan Basamak Ve Merdiven Paspası,Yeşil,0,129,80,4,9,80,7,1,15,0,0,15,0,0,1935,0,0,0,0,0,0,0,0,15,0,0,0,0
BPS32,0789393946828,Kahve Bukl Kendinden Yapışkanlı Merdiven Basamak Halısı,Renkli,0,149,74,2,51,74,193,6,60,10,50,0,0,0,8940,0,0,0,0,0,0,0,0,0,0,0,0,0
MER5080,869012343410,Nem Alıcı Kaymaz Taban Kapı Önü Paspası,Siyah,0,299,86,7,156,86,3,1,1,0,0,1,0,0,299,0,0,0,0,0,0,0,1,0,0,0,0,0
DK220,0709637254168,Tufting Halıdan Basamak Ve Merdiven Paspası,Kahve,0,199,145,7,21,145,4,1,6,0,0,6,0,0,1194,0,0,0,0,0,0,0,6,0,0,0,0,0
KOP29,0789393944480,Kaplumbağa Baskılı Kauçuk Kapı Önü Paspası,Çok Renkli,0,0,21,3,7,21,5,1,1,0,0,0,1,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0
DK182,0709637253789,Tufting Halıdan Basamak Ve Merdiven Paspası,Beyaz,0,129,235,16,24,235,14,3,32,0,0,32,0,0,4128,0,0,0,0,2,0,30,0,0,0,0,0,0
EKO26,470773336,Desenli Kaymaz Tabanlı Merdiven Basamak Paspası / Halısı,Renkli,0,129,24,3,129,24,1,1,5,5,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0
KOP3,0789393944640,Welcome Yazılı Kauçuk Kapı Önü Paspası,NoColor-3a1e9a23,0,199,8,0,6,8,1,1,1,0,0,0,1,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0
DK228,0709637254243,Tufting Halıdan Basamak Ve Merdiven Paspası,Kahve,0,199,229,6,17,229,7,1,6,0,0,6,0,0,1194,0,0,0,0,0,0,0,6,0,0,0,0,0
EKOYRMALIN16,0709637255172,Bukle Halıdan Alınlıklı Basamak ve Merdiven Paspası 16'lı,Bej,0,2399,128,5,5,128,2,1,1,1,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0
WELCOMEYAPRAK,0789393946552,Welcome Ve Kurumuş Yaprak Baskılı Kaliteli Kauçuk Kapı Önü Paspas,Renkli,0,199,19,1,1,19,2,1,1,0,0,1,0,0,199,0,0,0,0,0,0,0,1,0,0,0,0,0
DK183,0709637253796,Tufting Halıdan Basamak Ve Merdiven Paspası,Siyah,0,129,134,7,15,134,2,1,2,0,0,2,0,0,258,0,0,0,0,0,0,2,0,0,0,0,0,0
KAUCUK23,869030253131,Kauçuk Tabanlı Hijyenik Kapı Önü Paspası,Mavi,0,299,54,5,19,54,3,1,1,0,0,1,0,0,299,0,0,0,0,0,1,0,0,0,0,0,0,0
